Time (fs),MSD
599000.0,84.09938372317926
599500.0,84.13193087987837
600000.0,84.16990232039964
600500.0,84.20945214914248
601000.0,84.24462312130987
601500.0,84.27976597018159
602000.0,84.31484478866105
602500.0,84.36018475556187
603000.0,84.4006586571014
603500.0,84.44328102400591
604000.0,84.48355640326977
604500.0,84.52803553228199
605000.0,84.56726941292925
605500.0,84.59904664007576
606000.0,84.63052561825056
606500.0,84.67373530119782
607000.0,84.71502235322991
607500.0,84.75690527538032
608000.0,84.79083949373718
608500.0,84.83873582507991
609000.0,84.87327995740915
609500.0,84.9113568921666
610000.0,84.95131993854169
610500.0,84.99184509032189
611000.0,85.02708971055749
611500.0,85.06215718528237
612000.0,85.09535226197409
612500.0,85.13411044219727
613000.0,85.17426376794259
613500.0,85.20462367917027
614000.0,85.23803071645203
614500.0,85.27749212891997
615000.0,85.31643104042885
615500.0,85.3541049390944
616000.0,85.39032941392439
616500.0,85.4439992282757
617000.0,85.48236221204371
617500.0,85.5234154803859
618000.0,85.5631987586942
618500.0,85.6008416235705
619000.0,85.6445434202035
619500.0,85.68272747446312
620000.0,85.7221640265634
620500.0,85.76410896838826
621000.0,85.80945521727546
621500.0,85.84439003147737
622000.0,85.87899412288388
622500.0,85.90922491123683
623000.0,85.93494744934961
623500.0,85.97345992699354
624000.0,86.00434017489032
624500.0,86.04419349691582
625000.0,86.0855215951593
625500.0,86.12310460241193
626000.0,86.16212628766421
626500.0,86.20108692081068
627000.0,86.24060153750204
627500.0,86.28394982458754
628000.0,86.31485829126645
628500.0,86.34697009790538
629000.0,86.37228226585282
629500.0,86.40553480637634
630000.0,86.43413886005841
630500.0,86.47186973984809
631000.0,86.50799714342278
631500.0,86.54576185070435
632000.0,86.578331285606
632500.0,86.6098469401153
633000.0,86.63874859907799
633500.0,86.66117150936356
634000.0,86.69059197530174
634500.0,86.73007880537503
635000.0,86.76683564421606
635500.0,86.81097223175419
636000.0,86.83982113716742
636500.0,86.87739694844343
637000.0,86.91867740101183
637500.0,86.95490798223744
638000.0,86.98835246728193
638500.0,87.01835300402155
639000.0,87.05290320142444
639500.0,87.09290448829181
640000.0,87.13337862703763
640500.0,87.16932800070808
641000.0,87.21453492812289
641500.0,87.25098027050981
642000.0,87.28213218326478
642500.0,87.3052441119835
643000.0,87.34677768914993
643500.0,87.38267097515562
644000.0,87.41867524832273
644500.0,87.46079249215583
645000.0,87.4926086336255
645500.0,87.51805382449386
646000.0,87.54855979678362
646500.0,87.57808250858976
647000.0,87.60797961894474
647500.0,87.63233071183289
648000.0,87.66306598509094
648500.0,87.68841364057297
649000.0,87.71625421017995
649500.0,87.74269064359812
650000.0,87.77678271674664
650500.0,87.80930387513459
651000.0,87.8399699895862
651500.0,87.86636995420547
652000.0,87.90566885370592
652500.0,87.93406920387487
653000.0,87.96694950348676
653500.0,88.00342261800672
654000.0,88.02778083980914
654500.0,88.06141594024352
655000.0,88.09768892778453
655500.0,88.12682733429388
656000.0,88.15751647337497
656500.0,88.19292016879643
657000.0,88.23366552299537
657500.0,88.27216454787109
658000.0,88.31211377181329
658500.0,88.34774320048804
659000.0,88.38931876589487
659500.0,88.41870661776181
660000.0,88.4523191267814
660500.0,88.48602360113235
661000.0,88.51528079561449
661500.0,88.54729080859617
662000.0,88.57418010349853
662500.0,88.60322793189805
663000.0,88.63429241445633
663500.0,88.67786791820527
664000.0,88.71383775428608
664500.0,88.75491734142335
665000.0,88.7841536332655
665500.0,88.82549099120409
666000.0,88.85368455683665
666500.0,88.88210315258254
667000.0,88.90386515706153
667500.0,88.93209535459991
668000.0,88.95892276226203
668500.0,89.00095338304139
669000.0,89.03377755743243
669500.0,89.07047223197263
670000.0,89.10917095892557
670500.0,89.14986573613787
671000.0,89.18645282174857
671500.0,89.227225120582
672000.0,89.27305531739441
672500.0,89.32030359891169
673000.0,89.36518786671772
673500.0,89.40376330015542
674000.0,89.43994207026402
674500.0,89.47148915371224
675000.0,89.51259455124223
675500.0,89.5535153020427
676000.0,89.58266462417099
676500.0,89.61812325014621
677000.0,89.66133771482585
677500.0,89.7036462428783
678000.0,89.7496516302362
678500.0,89.80019154173274
679000.0,89.85024319309646
679500.0,89.90192880733485
680000.0,89.96488176060562
680500.0,90.02476894632487
681000.0,90.07951036233803
681500.0,90.12612413197922
682000.0,90.17882277652252
682500.0,90.23075360708214
683000.0,90.29229162816797
683500.0,90.35569534538368
684000.0,90.41120226131108
684500.0,90.46148890506427
685000.0,90.50878766025568
685500.0,90.56243250018998
686000.0,90.6034240724187
686500.0,90.65602085776662
687000.0,90.70187523732243
687500.0,90.75269693821186
688000.0,90.79948710414351
688500.0,90.84110332225815
689000.0,90.87756792046484
689500.0,90.906606460928
690000.0,90.94680214219069
690500.0,90.9824237878058
691000.0,91.0069660617429
691500.0,91.03706090192468
692000.0,91.07018646023005
692500.0,91.09737328870993
693000.0,91.13091217339291
693500.0,91.16961972632372
694000.0,91.1977904754007
694500.0,91.23535999455967
695000.0,91.27642716764822
695500.0,91.31619371439962
696000.0,91.34826615828416
696500.0,91.38577539256131
697000.0,91.41953398930566
697500.0,91.45860926949373
698000.0,91.4843142261726
698500.0,91.5044057733992
699000.0,91.51978137704165
699500.0,91.5422823889838
700000.0,91.57184468327934
700500.0,91.5912182967061
701000.0,91.61972586163887
701500.0,91.6302775257489
702000.0,91.64719869667304
702500.0,91.66810306583811
703000.0,91.68742215468635
703500.0,91.7091399198541
704000.0,91.72209172830503
704500.0,91.73526696603373
705000.0,91.74717116060462
705500.0,91.76314626828353
706000.0,91.7831832320048
706500.0,91.80707259690473
707000.0,91.82628012049562
707500.0,91.85201630560209
708000.0,91.87378654162674
708500.0,91.903725709899
709000.0,91.91662654252285
709500.0,91.92904585352
710000.0,91.95253591751143
710500.0,91.97342664611466
711000.0,91.99147379062941
711500.0,92.01095380004148
712000.0,92.03195685581575
712500.0,92.05179254876035
713000.0,92.07293171446187
713500.0,92.09649554654347
714000.0,92.11386701361668
714500.0,92.13331072006862
715000.0,92.16168684667832
715500.0,92.18353084816195
716000.0,92.20657493878194
716500.0,92.23745139325028
717000.0,92.26461619222742
717500.0,92.28837162831043
718000.0,92.31413949596781
718500.0,92.33382691294302
719000.0,92.35534901001398
719500.0,92.37530062933651
720000.0,92.38636873214108
720500.0,92.39901031602447
721000.0,92.40863656127296
721500.0,92.42309541621673
722000.0,92.44678708685261
722500.0,92.4636389051675
723000.0,92.48868615268847
723500.0,92.52567476057959
724000.0,92.55007867610928
724500.0,92.57000194267344
725000.0,92.59533441859647
725500.0,92.61908929499137
726000.0,92.65051915460441
726500.0,92.67799182729394
727000.0,92.70446234025171
727500.0,92.72194652904479
728000.0,92.75933649717979
728500.0,92.77744826077465
729000.0,92.79606481890063
729500.0,92.83029487909505
730000.0,92.85902727055682
730500.0,92.8864430868458
731000.0,92.90906875315643
731500.0,92.92944616208366
732000.0,92.96481476636663
732500.0,92.99608831775726
733000.0,93.03748373072116
733500.0,93.06168974673805
734000.0,93.09477652618405
734500.0,93.12912123501867
735000.0,93.1608150956785
735500.0,93.18980632520734
736000.0,93.21288136145414
736500.0,93.24113153978645
737000.0,93.26951306052861
737500.0,93.29630386983679
738000.0,93.32655737866483
738500.0,93.36017204457345
739000.0,93.38175266986792
739500.0,93.40277845309313
740000.0,93.4095968198477
740500.0,93.4310573668075
741000.0,93.45513592299302
741500.0,93.48672542919925
742000.0,93.49591885713599
742500.0,93.52543509502217
743000.0,93.54451733020531
743500.0,93.56083511418578
744000.0,93.57684871842686
744500.0,93.58820295907846
745000.0,93.61352566524519
745500.0,93.62639756844072
746000.0,93.64198637794094
746500.0,93.66259058993826
747000.0,93.68054145272558
747500.0,93.70123173872877
748000.0,93.73059661177079
748500.0,93.75491196083675
749000.0,93.78040615338922
749500.0,93.81309255698562
750000.0,93.83704710248307
750500.0,93.85629835959955
751000.0,93.88182736080725
751500.0,93.90054728008367
752000.0,93.92445357761332
752500.0,93.95843277522899
753000.0,93.9814665538097
753500.0,94.00094859407838
754000.0,94.02301669971072
754500.0,94.04717028320496
755000.0,94.0850732246216
755500.0,94.11336616914272
756000.0,94.13435811311106
756500.0,94.15487468119915
757000.0,94.17284474707621
757500.0,94.2080787000674
758000.0,94.22568793870863
758500.0,94.2549798624564
759000.0,94.28800835847312
759500.0,94.32473591451654
760000.0,94.37001490905223
760500.0,94.40845839943809
761000.0,94.44111609563025
761500.0,94.48382391385886
762000.0,94.52073087631588
762500.0,94.54865039911445
763000.0,94.57431837534304
763500.0,94.60301674680376
764000.0,94.63163507890853
764500.0,94.67143418408308
765000.0,94.70452666828824
765500.0,94.72697176503212
766000.0,94.75219229604744
766500.0,94.7770585132387
767000.0,94.8061816164588
767500.0,94.83806535904819
768000.0,94.85982721818611
768500.0,94.8932228335844
769000.0,94.92772611512088
769500.0,94.95690205694311
770000.0,94.98747575133459
770500.0,95.02122536621505
771000.0,95.051769567178
771500.0,95.08408765136117
772000.0,95.11019801472989
772500.0,95.13830192076828
773000.0,95.17217610184692
773500.0,95.19864626423512
774000.0,95.23228377149981
774500.0,95.26072329606659
775000.0,95.28253548225597
775500.0,95.3247449526916
776000.0,95.35788035558629
776500.0,95.38792513408113
777000.0,95.42710756567888
777500.0,95.46348506575512
778000.0,95.49813752519637
778500.0,95.52784669200733
779000.0,95.55494455364997
779500.0,95.58783385110237
780000.0,95.60897452532852
780500.0,95.62933996651441
781000.0,95.67001713720907
781500.0,95.69182471877292
782000.0,95.71253962616477
782500.0,95.75057047880192
783000.0,95.7761016982273
783500.0,95.80524581968112
784000.0,95.8329971590414
784500.0,95.86546133080756
785000.0,95.9071458726722
785500.0,95.94999632671875
786000.0,95.99355101610946
786500.0,96.02639054851413
787000.0,96.0584950510137
787500.0,96.09169657294893
788000.0,96.12694394152568
788500.0,96.15768843648604
789000.0,96.18561225809785
789500.0,96.2178171543472
790000.0,96.24559210601977
790500.0,96.28424931579912
791000.0,96.30745418496579
791500.0,96.34051255959461
792000.0,96.36507049270611
792500.0,96.4007301171466
793000.0,96.42896763746091
793500.0,96.48051356925541
794000.0,96.52743246798258
794500.0,96.5610727751332
795000.0,96.59691868965336
795500.0,96.643121931567
796000.0,96.68836823265724
796500.0,96.72796141520284
797000.0,96.75874098573942
797500.0,96.80119157442653
798000.0,96.84119664517608
798500.0,96.87904228687009
799000.0,96.90667069100644
799500.0,96.93844887745311
800000.0,96.97178110787337
800500.0,97.00514216480832
801000.0,97.03770685733546
801500.0,97.07065231248907
802000.0,97.11321916012587
802500.0,97.1432268073272
803000.0,97.17460453730618
803500.0,97.22896212572249
804000.0,97.26237452666923
804500.0,97.30353379455487
805000.0,97.3311489209014
805500.0,97.34511945235377
806000.0,97.38010661049998
806500.0,97.4083628854049
807000.0,97.43276067586662
807500.0,97.44473290550486
808000.0,97.46247273207804
808500.0,97.48735234815129
809000.0,97.50917766293661
809500.0,97.53996424466749
810000.0,97.56159182980664
810500.0,97.57543853805956
811000.0,97.59713525980712
811500.0,97.61109284866667
812000.0,97.62510154913319
812500.0,97.64798533778443
813000.0,97.659412444071
813500.0,97.67983106402593
814000.0,97.68942650057677
814500.0,97.69459053434782
815000.0,97.71772740379981
815500.0,97.73083519572766
816000.0,97.7398994371538
816500.0,97.76201763450185
817000.0,97.77470876986395
817500.0,97.7901856749669
818000.0,97.80997303923495
818500.0,97.83076530173861
819000.0,97.85226323091902
819500.0,97.87325420598167
820000.0,97.88202318080688
820500.0,97.89532760361195
821000.0,97.90635992475976
821500.0,97.92950666335504
822000.0,97.9366552364838
822500.0,97.95120832248833
823000.0,97.9593748902966
823500.0,97.9690718147809
824000.0,97.98521279500412
824500.0,97.99474001896391
825000.0,98.01572639599254
825500.0,98.03509053169839
826000.0,98.03138198651526
826500.0,98.05636016807736
827000.0,98.0801014882878
827500.0,98.09709035684935
828000.0,98.11083185799238
828500.0,98.12272830819887
829000.0,98.13052266310588
829500.0,98.15058596546868
830000.0,98.16099447641325
830500.0,98.18564501709018
831000.0,98.2043552722966
831500.0,98.23421779154407
832000.0,98.2573359065157
832500.0,98.27121865712381
833000.0,98.29846920187282
833500.0,98.32737262851148
834000.0,98.33617930434697
834500.0,98.34891928203204
835000.0,98.3608202232185
835500.0,98.38792478322013
836000.0,98.40206703785186
836500.0,98.42288690367253
837000.0,98.44259991566504
837500.0,98.46803169888807
838000.0,98.49682639880575
838500.0,98.5073647736727
839000.0,98.52599434111207
839500.0,98.5329756961735
840000.0,98.55577168986594
840500.0,98.57560295045243
841000.0,98.58103909664477
841500.0,98.60807907672934
842000.0,98.64529904196993
842500.0,98.65917648016303
843000.0,98.67533308631343
843500.0,98.69307641688583
844000.0,98.70676198659253
844500.0,98.71577195779884
845000.0,98.73494530622926
845500.0,98.76512019558147
846000.0,98.78454283491718
846500.0,98.80733547756716
847000.0,98.82757651879247
847500.0,98.84149504998624
848000.0,98.87696943243533
848500.0,98.9102649192306
849000.0,98.92279606756296
849500.0,98.93778930831408
850000.0,98.95913486063475
850500.0,98.99122621383665
851000.0,99.01292983659496
851500.0,99.03775337557555
852000.0,99.06645840126379
852500.0,99.10097561280514
853000.0,99.11936541168394
853500.0,99.14282908753754
854000.0,99.1677778395306
854500.0,99.18603656936313
855000.0,99.20044171543839
855500.0,99.219421109691
856000.0,99.25844139900464
856500.0,99.28702439558984
857000.0,99.30654772333973
857500.0,99.33504405137579
858000.0,99.36119220946445
858500.0,99.39203208079752
859000.0,99.42509268480254
859500.0,99.44549356315713
860000.0,99.48663379887556
860500.0,99.52099807066433
861000.0,99.55424385676014
861500.0,99.58965674691092
862000.0,99.62241999455986
862500.0,99.6773148301863
863000.0,99.71324401670488
863500.0,99.74557114947277
864000.0,99.78503730523232
864500.0,99.81303902986974
865000.0,99.84155990476162
865500.0,99.88122621536236
866000.0,99.93562615573585
866500.0,99.9646521090493
867000.0,99.980607576032
867500.0,99.99727879588497
868000.0,100.03258576981344
868500.0,100.06861775330721
869000.0,100.11630558596032
869500.0,100.16307594589641
870000.0,100.20508918600133
870500.0,100.2394737662051
871000.0,100.27320959292452
871500.0,100.29350165879735
872000.0,100.32920637037651
872500.0,100.35070282982028
873000.0,100.38039870275935
873500.0,100.40573194601181
874000.0,100.44533242331684
874500.0,100.46684839400415
875000.0,100.48989671003898
875500.0,100.50955742748535
876000.0,100.53098330814939
876500.0,100.54478411592414
877000.0,100.57782333611472
877500.0,100.59346504890327
878000.0,100.61842277834242
878500.0,100.63324151390967
879000.0,100.67079830583936
879500.0,100.69585645483865
880000.0,100.72696709106748
880500.0,100.76293672130352
881000.0,100.78691800293863
881500.0,100.82254002463736
882000.0,100.84670051942005
882500.0,100.87053801778612
883000.0,100.88749390704422
883500.0,100.91332317143208
884000.0,100.9464736683761
884500.0,100.99591079439517
885000.0,101.02790269895367
885500.0,101.07450000611016
886000.0,101.11354656103028
886500.0,101.15259316757674
887000.0,101.182144350083
887500.0,101.21631167864011
888000.0,101.25040566725679
888500.0,101.30077865066087
889000.0,101.340223200028
889500.0,101.38392590774357
890000.0,101.4334542418946
890500.0,101.46117709884957
891000.0,101.48831414416945
891500.0,101.50917147575419
892000.0,101.53838855728713
892500.0,101.57859302664068
893000.0,101.60558112719853
893500.0,101.62865556471607
894000.0,101.65659772008328
894500.0,101.67595385954156
895000.0,101.69472825530251
895500.0,101.68865594929161
896000.0,101.70484485694375
896500.0,101.73498797849169
897000.0,101.75892735419787
897500.0,101.77638976633618
898000.0,101.78992529312231
898500.0,101.8008732171995
899000.0,101.8140381557908
899500.0,101.81526238651104
900000.0,101.82868282965642
900500.0,101.8542627806175
901000.0,101.87739531886366
901500.0,101.89655383279974
902000.0,101.92274869656929
902500.0,101.93158597602871
903000.0,101.95853256057104
903500.0,101.97992581196526
904000.0,102.02044058510141
904500.0,102.05028284146347
905000.0,102.07671197888185
905500.0,102.09919744716916
906000.0,102.12820276157164
906500.0,102.14755588587605
907000.0,102.1764287791972
907500.0,102.21000619924854
