O index,H index,distance
269,645,1.0087271773597388
271,647,1.0941412701776208
508,628,0.9777023808313351
510,630,0.9833977511510523
511,631,0.9787216134304084
514,642,0.9749304036670761
576,648,0.980527869059544
576,652,0.9704072685712403
577,633,0.9724023047905219
577,653,1.0303428209810874
577,692,0.9982346572143515
578,654,1.0008261257798725
578,717,0.9871068697119337
579,635,1.0486200886781922
579,655,1.135992868543712
579,739,1.0299684913310945
580,649,1.1053439178778008
580,656,1.0556544254113187
580,670,1.0262324370198042
581,657,0.9978000464068467
581,661,1.0203289061201792
582,658,1.0023445175134051
582,662,1.047524090668079
582,714,1.040689476773504
583,659,0.9486167116803633
583,663,1.034754219919539
584,664,0.956886538960348
584,668,0.9729324530919828
585,665,1.00185891213786
585,669,0.9898909929577904
586,666,0.9749390248802348
586,673,1.001376525939078
587,667,0.9804534524659134
587,737,0.9750600325342352
588,660,1.0618320417403535
588,671,1.0607352583950342
588,676,0.9930103183204776
589,644,0.98250607256569
589,677,1.0067135292647575
590,674,0.9582567772742439
590,678,0.9826051093099855
591,646,0.9982279054192605
591,679,0.9811452687531906
592,680,0.9959714397072846
592,684,0.9751888474357308
593,681,1.0070853355899183
593,685,0.9920784450157585
593,699,1.0577371928629595
594,682,1.0090437705763933
594,686,0.9896281611044653
595,683,1.026411632089245
595,687,1.0942052974729417
595,724,1.1832843986405168
596,629,0.9820624981041165
596,641,1.0330707608512384
596,688,1.0145219924590185
597,640,1.044588706913622
597,689,1.0826760460443814
597,693,1.0144873460838988
598,690,0.9597940463911221
598,694,1.025863825153631
599,691,1.0173690689791814
599,695,0.9663069507775729
600,696,0.9854990100474433
600,700,1.000025527887263
601,697,0.9896662698476719
601,701,1.0201927015299452
602,698,0.9574469880790175
602,702,0.9484289339911345
602,730,1.1525608039398734
603,703,1.0123231083046471
603,731,0.9466711463315759
604,704,1.0406710264579937
604,708,0.9965159105744131
605,705,0.990684273124338
605,709,0.9977472395229189
606,706,1.021736762287712
606,710,0.9905413981110752
607,634,1.1228569145764662
607,707,0.9750544661224525
607,711,1.0006757774143478
608,712,0.9840975629126416
608,716,0.9169346387854586
609,650,1.0413741460412633
609,713,1.0392883522008767
609,721,1.0138486940267206
610,718,0.999269349892504
610,722,0.9832306081078196
611,715,0.9678877750575537
611,719,0.9641827419944901
612,625,0.9512959614840637
612,720,0.9795028401181336
613,624,0.936163627220312
613,725,0.9899143808890608
614,627,0.9902589503351934
614,726,0.9980244038059956
615,626,1.0184547809600757
615,723,1.0463939835123246
615,727,1.0152107791953222
616,638,1.0025679964130316
616,728,1.0853780630282335
616,732,0.9659947023166091
617,639,1.0599280578821804
617,729,0.9733011319353239
617,733,1.101656505869709
618,636,0.9820631043578528
618,734,0.9784512671181269
619,637,1.0923814702667514
619,643,1.0168738036240477
619,735,0.9566383807904808
620,632,1.037440376847177
620,736,1.0839448057104242
620,740,1.0081055019429612
621,672,1.0466864122790132
621,741,0.9915968090797046
622,675,1.061624437973772
622,738,1.036299063616786
622,742,1.0660143027894324
623,651,0.9857736269377226
623,743,0.9910010180981875
