,576,641,577,617,640,578,643,579,580,588,581,585,589,613,582,590,614,583,591,615,584,604,605,586,606,587,607,608,609,610,642,592,600,624,593,625,594,626,595,627,596,616,597,601,598,602,618,599,603,619,612,644,645,646,647,611,632,633,635,620,628,621,629,622,630,634,623,631,636,637,638,639
576,220,21,0,0,0,0,28,0,53,0,0,1,29,0,2,26,0,9,0,14,0,0,6,0,41,0,0,0,0,14,0,5,4,5,0,0,21,3,0,0,34,0,0,0,0,0,0,0,0,0,15,10,0,12,0,16,1,0,0,18,25,0,0,0,0,0,0,0,2,0,0,0
577,0,0,220,22,27,0,0,0,0,19,0,39,0,8,0,0,0,0,13,0,0,42,0,0,0,0,0,13,0,0,0,0,14,0,21,3,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,3,0,0,0,0,38,0,0,0,15,24,0,0,0,0,0,0,15,0,0
578,0,0,0,0,0,220,8,0,0,0,21,0,0,0,0,0,15,0,0,0,10,0,0,0,0,10,0,0,22,0,0,0,0,0,0,0,0,21,0,0,0,19,0,0,56,10,22,0,0,57,0,0,0,2,0,7,0,0,0,0,0,0,0,6,26,18,0,22,0,0,12,0
579,0,4,0,0,0,0,0,220,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,48,0,0,19,0,0,0,45,0,2,0,0,0,2,0,1,31,0,0,0,0,0,0,0,4,23,0,3,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,47,1,19,0,0,45
580,53,4,0,0,0,0,2,0,220,1,0,0,15,0,4,9,0,8,0,3,1,0,3,0,6,0,3,0,0,16,0,10,0,3,0,0,26,10,0,0,10,7,0,0,0,0,0,0,0,0,12,41,0,22,0,5,3,0,0,23,60,0,0,0,0,0,0,0,37,0,0,0
581,0,0,0,0,0,21,0,0,0,0,220,1,1,1,1,0,31,0,0,11,5,0,0,0,0,12,0,0,26,0,0,0,0,0,0,0,9,34,0,0,0,11,0,0,5,21,40,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,31,3,34,0,19,0,0,34,0
582,2,30,0,1,0,0,4,8,4,0,1,0,0,0,220,5,3,29,0,0,0,0,0,20,2,0,45,0,0,9,3,3,1,9,1,0,0,0,2,27,15,0,0,0,0,0,0,6,0,0,1,2,0,0,37,9,7,0,0,9,0,0,0,0,0,0,31,1,14,0,0,2
583,9,8,0,0,0,0,29,0,8,0,0,0,23,0,29,14,0,220,1,1,0,0,12,0,5,5,31,0,0,27,0,2,0,19,0,0,17,19,0,0,17,18,0,0,0,0,0,0,0,0,1,0,0,3,0,21,23,0,4,12,8,0,0,0,0,0,0,6,2,0,0,0
584,0,0,0,0,4,10,0,0,1,0,5,0,0,0,0,0,25,0,0,9,220,1,0,0,0,38,0,0,14,0,0,0,0,0,0,0,8,17,0,0,0,8,0,0,24,22,2,0,0,50,0,0,0,21,0,0,0,0,0,0,0,0,0,23,11,25,0,5,0,0,16,0
585,1,9,39,9,11,0,0,0,0,11,1,220,0,32,0,0,0,0,3,3,0,4,14,0,0,0,0,35,0,0,0,0,20,0,9,44,0,0,0,0,3,0,17,4,0,0,0,0,0,0,0,0,26,0,0,0,0,13,0,0,0,10,33,0,0,0,6,0,0,26,0,0
586,0,49,0,0,0,0,0,48,0,0,0,0,0,0,20,0,11,0,0,0,0,0,0,220,1,0,8,0,0,0,15,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,33,10,0,2,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,29,46,4,0,0,17
587,0,0,0,0,0,10,3,0,0,0,12,0,0,0,0,0,35,5,0,2,38,0,0,0,0,220,1,0,11,0,0,0,0,0,0,1,1,20,0,0,0,23,0,0,17,38,28,0,0,13,0,0,0,19,0,6,2,0,0,0,0,0,0,18,21,14,0,8,0,0,24,0
588,0,0,19,4,46,0,0,0,1,220,0,11,0,18,0,0,0,0,17,0,0,1,0,0,0,0,0,36,0,0,0,0,40,0,5,39,0,0,0,0,0,0,20,49,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,7,4,0,0,0,1,0,0,30,0,0
589,29,1,0,0,0,0,40,0,15,0,1,0,220,0,0,12,0,23,0,15,0,0,59,0,27,0,1,0,1,10,0,3,2,26,0,0,12,0,0,0,16,7,0,0,0,0,0,0,0,0,1,23,0,2,0,24,9,0,31,15,9,0,0,0,0,0,0,0,3,0,0,0
590,26,2,0,0,0,0,37,0,9,0,0,0,12,0,5,220,1,14,0,1,0,0,24,0,25,0,29,0,0,17,1,56,0,15,0,0,15,17,0,0,12,7,0,0,0,0,0,0,0,0,12,19,0,1,0,9,9,0,40,8,6,0,0,0,0,0,0,1,0,0,0,0
591,0,0,13,27,14,0,0,0,0,17,0,3,0,15,0,0,0,1,220,0,0,20,0,0,0,0,0,15,0,0,0,0,19,0,70,41,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,34,57,0,0,0,1,0,0,7,0,0
592,5,7,0,0,0,0,7,0,10,0,0,0,3,0,3,56,0,2,0,1,0,0,27,0,6,0,11,0,0,12,0,220,3,23,0,0,40,6,0,0,29,1,0,0,0,0,0,0,0,0,12,15,0,10,0,0,20,0,5,14,62,0,0,0,0,0,1,1,0,0,0,0
593,0,0,21,23,17,0,0,0,0,5,0,9,0,11,1,0,0,0,70,0,0,21,0,0,0,0,0,18,0,0,0,0,26,0,220,3,0,0,0,0,0,0,41,20,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,20,10,0,0,0,0,0,0,23,0,0
594,21,0,0,0,0,0,4,2,26,0,9,0,12,0,0,15,0,17,0,0,8,0,10,0,8,1,5,0,4,1,0,40,0,26,0,0,220,7,0,0,6,5,0,0,6,24,5,0,0,5,2,17,0,9,0,10,0,0,0,32,19,0,0,16,8,2,0,10,5,0,0,0
595,0,17,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,22,0,0,0,32,0,0,0,0,0,0,0,220,67,3,0,0,0,0,0,0,80,25,4,21,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,48
596,34,0,0,0,0,0,1,0,10,0,0,3,16,0,15,12,0,17,0,33,0,0,24,0,25,0,0,0,0,10,0,29,1,36,0,0,6,1,3,0,220,20,0,0,0,0,0,0,0,0,8,6,0,39,0,22,3,0,3,3,9,0,0,0,0,0,0,0,19,0,0,0
597,0,0,57,21,10,0,0,0,0,20,0,17,0,10,0,0,0,0,21,0,0,26,0,0,0,0,0,9,0,0,0,0,8,0,41,4,0,0,0,0,0,0,220,12,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,18,22,0,0,0,0,0,0,36,0,0
598,0,0,0,0,0,56,0,0,0,0,5,0,0,0,0,0,39,0,0,23,24,0,0,0,0,17,0,0,36,0,0,0,0,0,0,0,6,1,0,0,0,10,0,0,220,14,39,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,41,0
599,0,11,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,25,0,0,0,0,0,0,0,80,5,0,0,0,0,0,0,0,220,50,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,43
