Frame,Donor,Hydrogen,Acceptor,Dist(Donor-Hydrogen),Dist(Donor-Acceptor),Angle(Hydrogen-Donor-Acceptor)
0,580,660,588,0.9320147022138847,2.739234848669878,12.419621312752495
0,580,656,604,0.9637760814226225,3.042975599980089,17.76900076934411
0,581,661,589,0.9715031070940556,2.888114730956023,13.24081980547571
0,581,657,605,0.9737589691892479,2.739191833892654,9.259244673111247
0,582,662,590,1.0010776167869744,2.8568532803087674,7.241701361390374
0,582,658,606,0.9807455600681463,2.7340185512311477,3.13713121822814
0,583,663,591,0.9774611251767209,2.606948859419439,6.752231934416312
0,583,659,607,0.9756726381347239,3.1811907175801903,24.073647341978948
0,592,684,605,0.9455370009071763,3.1436502626556933,15.777512632212837
0,592,680,620,1.030467200320243,2.5570434022169373,3.017348280753322
0,593,685,604,0.9689374766821125,2.971391001541588,19.743213008285682
0,593,681,621,1.0248105464922506,2.616588716201491,4.424211455386378
0,594,686,607,0.9612415448270413,3.4720285459374045,14.447616933859713
0,594,682,622,1.04913743894389,2.6663992978718847,5.162476571947979
0,595,687,606,0.9809693014097774,2.9522155480551606,12.648656029654902
0,595,683,623,1.0470358375279203,2.6452109127715513,14.072469894153876
0,600,696,594,1.1106800280394333,2.4910030470657962,4.615526483320255
0,601,697,595,0.9899733511627904,2.449662246522641,14.80072325093754
0,602,698,592,1.0483970679769077,2.5614561113235594,10.096763817723538
0,603,699,593,1.0780922220749176,2.4898766171476336,9.086327298745902
0,604,704,610,0.9675852464935443,2.8810007380335314,15.838954796721133
0,605,705,611,0.9866704770070049,2.8067560513856,20.604376567108886
0,606,706,608,0.985290787826443,2.8279646552437563,4.703341760301849
0,607,707,609,0.9721798994948507,2.8250099711259486,13.740246492079695
0,612,724,596,1.05975885862279,2.589495000861768,9.409997306477216
0,612,720,608,1.0443171207692794,2.5069216502385054,11.560344926126975
0,613,725,597,1.0059382021383427,2.6158599198898993,5.954091625548387
0,613,721,609,1.0440724326617632,2.5389009825465703,7.3946276898976775
0,614,726,598,0.9751434161478225,2.6524565892760243,7.643668620698121
