Time (fs),MSD
0.0,0.0
50902.52835578362,6.209969247802056
101805.05671156725,7.98697598758177
152707.58506735088,9.264721579906608
203610.1134231345,9.637535422351993
254512.64177891813,9.546150412072949
305415.17013470177,10.577997335671197
356317.6984904854,10.162307253709148
407220.226846269,10.921507126791
458122.7552020526,11.060548626250226
509025.28355783626,11.179718836598918
559927.8119136199,12.416349397692594
610830.3402694035,13.512209272841785
661732.8686251871,16.413809911579246
712635.3969809707,16.987136145182127
763537.9253367543,17.27773712265625
814440.453692538,16.79868861248638
865342.9820483216,16.58969583771766
916245.5104041052,17.064049896741896
967148.0387598888,17.45808550704405
1018050.5671156725,17.025663088022355
1068953.0954714562,18.78267107446139
1119855.6238272397,17.568688809461808
1170758.1521830233,18.614259306015068
1221660.680538807,19.37774760395982
1272563.2088945906,18.901209883204473
1323465.7372503742,20.731842657631955
1374368.2656061577,21.135283575040248
1425270.7939619415,20.777272525278143
1476173.322317725,21.445277161795403
1527075.8506735086,21.31599716554926
1577978.3790292924,20.83472745997435
1628880.907385076,21.282116757815515
1679783.4357408595,21.649302482496815
1730685.9640966433,21.271439888880053
1781588.4924524268,22.62833064012955
1832491.0208082104,22.808831999858423
1883393.5491639941,22.974447216238893
1934296.0775197777,22.702899126227877
1985198.6058755612,21.720816205232342
2036101.134231345,23.72549846082921
2087003.6625871286,26.119735771354573
2137906.1909429124,24.338985745738338
2188808.7192986957,25.29421880017409
2239711.2476544795,26.863686513037944
2290613.7760102632,27.380408906288366
2341516.3043660466,27.785163917440272
2392418.8327218303,26.977911256269802
2443321.361077614,27.0627210821776
2494223.8894333974,27.07963890719916
2545126.417789181,27.20754891478611
2596028.9461449645,26.950836835527586
2646931.4745007483,25.6410764416805
2697834.002856532,24.205767127847153
2748736.5312123154,25.50915414215378
2799639.059568099,26.213681744599473
2850541.587923883,26.769855167382996
2901444.1162796663,27.48226204977469
2952346.64463545,28.715643816237794
3003249.172991234,29.23218207349044
3054151.701347017,27.37775229184528
3105054.229702801,27.6558768764894
3155956.7580585848,28.791397899711892
3206859.286414368,28.32202959342013
3257761.814770152,29.472200719782577
3308664.3431259356,29.664380670894918
3359566.871481719,26.808902610700436
3410469.3998375027,28.14000211699608
3461371.9281932865,27.731542278141767
3512274.45654907,29.330771421035006
3563176.9849048536,28.55239484523827
3614079.5132606374,28.268545799443867
3664982.0416164207,30.053054947079136
3715884.5699722045,27.250852142329855
3766787.0983279883,26.86124012684082
3817689.6266837716,27.768390568863772
3868592.1550395554,28.120389393208825
3919494.683395339,27.029226012532337
3970397.2117511225,27.236635061978205
4021299.7401069063,27.982767919259384
4072202.26846269,27.667622487799978
4123104.7968184734,27.360348169953255
4174007.325174257,26.51977605221613
4224909.853530041,26.591065328679292
4275812.381885825,26.85406129638286
4326714.910241608,28.199000627942436
4377617.438597391,28.88762456627282
4428519.966953175,29.53277491240048
4479422.495308959,29.938625336082396
4530325.023664743,31.537345355473956
4581227.5520205265,31.24560111663274
4632130.080376309,32.14418179816359
4683032.608732093,31.99698920517515
4733935.137087877,30.51821533693314
4784837.665443661,30.457328873326627
4835740.1937994445,31.35404664165067
4886642.722155228,33.65173756675295
4937545.250511011,33.959899425545984
4988447.778866795,33.06443195379706
5039350.307222579,33.730199841997695
