Frame Number,Number of Clusters,Number of Outliers,Silhouette Score,Average Cluster Size
11500,6,7,0.3787432265731099,10.833333333333334
11600,7,4,0.33237184479013715,9.714285714285714
11700,9,7,0.34725184774558226,7.222222222222222
11800,7,7,0.37512185149919136,9.285714285714286
11900,10,4,0.32727094388441247,6.8
12000,8,5,0.3457579190022656,8.375
12100,8,8,0.38253571266845565,8.0
12200,8,4,0.34164527904358977,8.5
12300,10,7,0.29235115381381865,6.5
12400,11,9,0.31109849091863906,5.7272727272727275
12500,5,7,0.26947803443260954,13.0
12600,7,4,0.36822006567663956,9.714285714285714
12700,8,2,0.24137217470926373,8.75
12800,8,4,0.17959150388715917,8.5
12900,10,4,0.3052362634145309,6.8
13000,8,8,0.35949433293292343,8.0
13100,9,4,0.3656952244327898,7.555555555555555
13200,9,7,0.3219155212276355,7.222222222222222
13300,9,3,0.19615171064753106,7.666666666666667
13400,11,6,0.29613962595766063,6.0
13500,7,5,0.39066012287018104,9.571428571428571
13600,11,6,0.2649998222416065,6.0
13700,7,3,0.3814764153090606,9.857142857142858
13800,8,8,0.29641116268112155,8.0
13900,9,13,0.3245522386026231,6.555555555555555
14000,6,3,0.3957087882626841,11.5
14100,9,4,0.361913823309353,7.555555555555555
14200,8,10,0.42842265075689034,7.75
14300,10,13,0.3314237343235534,5.9
14400,9,8,0.2655211197426151,7.111111111111111
14500,10,4,0.3153300334430872,6.8
14600,7,5,0.40118346672021493,9.571428571428571
14700,9,7,0.34007520303067434,7.222222222222222
14800,7,3,0.3970070029804487,9.857142857142858
14900,8,3,0.3540214322195013,8.625
15000,9,4,0.3018288920310635,7.555555555555555
15100,7,9,0.39959424092548196,9.0
15200,8,8,0.30736914168164736,8.0
15300,8,7,0.22686530798973034,8.125
15400,8,8,0.34448236796982656,8.0
15500,8,5,0.31333479421294774,8.375
15600,8,10,0.358438272470224,7.75
15700,8,4,0.40906850399537636,8.5
15800,8,11,0.4366312866505034,7.625
15900,9,4,0.3331140516055193,7.555555555555555
16000,9,6,0.30016474081030103,7.333333333333333
16100,7,6,0.3239611908764705,9.428571428571429
16200,6,8,0.4487917640121337,10.666666666666666
16300,8,4,0.2708458842980154,8.5
16400,7,8,0.35078004939403373,9.142857142857142
16500,8,6,0.28912382957013644,8.25
16600,5,10,0.3957225182049497,12.4
16700,11,2,0.2655375518229976,6.363636363636363
16800,9,8,0.27720005733405817,7.111111111111111
16900,11,4,0.2882396553628201,6.181818181818182
17000,8,3,0.34437621212047315,8.625
17100,8,8,0.41440589051757204,8.0
17200,6,8,0.4575831750152701,10.666666666666666
17300,10,6,0.3556415423599418,6.6
17400,7,11,0.35380594295563683,8.714285714285714
17500,6,7,0.38675262872260285,10.833333333333334
17600,7,10,0.43907963645387793,8.857142857142858
17700,8,3,0.29491737536722906,8.625
17800,7,3,0.3002635217461867,9.857142857142858
17900,6,5,0.33241158007071864,11.166666666666666
18000,6,3,0.3823779207321628,11.5
18100,5,4,0.4698152056567583,13.6
18200,10,11,0.2905709496340644,6.1
18300,8,3,0.3049497639971747,8.625
18400,6,5,0.3893436203589689,11.166666666666666
18500,5,11,0.3976760820666802,12.2
18600,9,9,0.32816195655936553,7.0
18700,7,3,0.3427980435010381,9.857142857142858
18800,6,6,0.38583107152243756,11.0
18900,7,3,0.3714660399546441,9.857142857142858
19000,8,5,0.33932317378798854,8.375
19100,6,6,0.43517003921992004,11.0
19200,10,11,0.2380543761164154,6.1
19300,9,4,0.3147630543253292,7.555555555555555
19400,6,5,0.3528039605621463,11.166666666666666
19500,7,3,0.391418265234749,9.857142857142858
19600,11,4,0.27313816400355817,6.181818181818182
19700,7,7,0.4391964860429139,9.285714285714286
19800,8,5,0.20095202511052598,8.375
19900,9,3,0.3387320489565758,7.666666666666667
20000,9,8,0.32897313984425103,7.111111111111111
20100,7,4,0.30401848331180725,9.714285714285714
20200,6,3,0.4607521555695578,11.5
20300,9,5,0.33482102406154535,7.444444444444445
20400,9,10,0.2762129641247871,6.888888888888889
20500,9,8,0.3218166907681712,7.111111111111111
20600,7,10,0.42883720847045914,8.857142857142858
20700,9,5,0.19729119945517182,7.444444444444445
20800,6,4,0.3882306599778246,11.333333333333334
20900,7,3,0.2634081571878791,9.857142857142858
21000,7,4,0.34592474645042437,9.714285714285714
21100,11,6,0.315720487603236,6.0
21200,8,13,0.3275615966185757,7.375
21300,7,8,0.32697039544727613,9.142857142857142
21400,9,4,0.2465100324742745,7.555555555555555
21500,7,9,0.4226809978244687,9.0
21600,10,5,0.295815661281811,6.7
21700,7,4,0.41602219253961126,9.714285714285714
21800,8,3,0.2640547100539181,8.625
21900,6,0,0.40183807796046594,12.0
