Frame,Hydrogen,Donor,Acceptor,Oxygen-Oxygen Distance,Hydrogen-Oxygen Distance,Angle(OA-OD-HD)
0,632,212,576,2.4106713154396484,1.373084839214787,12.378224871024715
0,633,213,577,2.480199876494365,1.4473230331364704,12.766966243603282
0,634,214,578,2.4679775543802505,1.4121490264006646,9.311042812461903
0,635,215,579,2.4754515106230306,1.4767993402452837,8.027195977304084
0,648,576,570,2.572937673199532,1.573123418256057,10.816958205511492
0,649,577,571,2.5593208466830806,1.6946055423569615,23.088801952012457
0,651,579,569,2.7520376014670944,1.8485533415795683,19.089446485079737
0,656,580,604,3.0429755999800894,2.145433782028279,17.76900076934411
0,660,580,588,2.7392348486698785,1.8399815526928658,12.419621312752495
0,657,581,605,2.739191833892655,1.785010122439322,9.259244673111247
0,661,581,589,2.8881147309560222,1.9551418678304753,13.24081980547571
0,658,582,606,2.734018551231148,1.7555633645921838,3.13713121822814
0,662,582,590,2.8568532803087674,1.8680282173762845,7.241701361390374
0,659,583,607,3.181190717580191,2.324701153420325,24.073647341978948
0,663,583,591,2.606948859419439,1.6402985727604524,6.752231934416312
0,664,584,274,2.7549674487507163,1.840973026033995,14.891032117909399
0,665,585,275,2.8377644416356254,1.9455400016769375,20.131823917883054
0,666,586,272,2.785201262052238,1.9772491541107264,27.245852782626976
0,667,587,273,2.6782234310677597,1.7139589061350957,5.015116935989155
0,676,588,261,2.6493306406650996,1.7299694709436693,16.86137977251524
0,677,589,260,3.0563060409520677,2.157372392475445,17.402773112933993
0,678,590,519,3.3989847684114447,2.4755063815142315,10.099955888941041
0,679,591,262,2.6815622786688147,1.7796928123869944,17.619993800065433
0,680,592,620,2.5570434022169386,1.5289672540748465,3.017348280753322
0,684,592,605,3.143650262655693,2.248483127416971,15.777512632212837
0,681,593,621,2.616588716201491,1.5967899732059698,4.424211455386378
0,685,593,604,2.9713910015415888,2.085259937715678,19.743213008285682
0,682,594,622,2.6663992978718847,1.6242632650088251,5.162476571947979
0,686,594,607,3.4720285459374054,2.5524768226112267,14.447616933859713
0,683,595,623,2.6452109127715513,1.6493642933819646,14.072469894153876
0,687,595,606,2.952215548055161,2.0065837817079135,12.648656029654902
0,688,596,525,2.7167122611655845,1.787409554213929,1.4981955310093027
0,689,597,524,2.8662696457018333,1.900468498020867,2.550583309066267
0,690,598,527,2.9666784944720086,2.0333322111194496,18.368183166556015
0,691,599,526,2.817895868823193,1.972823869583279,22.730247691478876
0,696,600,594,2.491003047065795,1.3868078086328124,4.615526483320255
0,700,600,252,2.901266174439703,1.9819227454858557,16.837241243277283
0,728,600,616,2.4060309597171377,1.2329052661897273,3.2964147207848744
0,697,601,595,2.449662246522639,1.5138099400374327,14.80072325093754
0,701,601,253,2.8581718255331547,1.914860670219484,10.639282132298788
0,698,602,592,2.56145611132356,1.5403004624783792,10.096763817723538
0,702,602,254,2.9093460299392997,1.9792146622505398,13.605150140909588
0,699,603,593,2.4898766171476336,1.4354453533101283,9.086327298745902
0,703,603,255,3.23119487478107,2.388991878188754,24.31814226413884
0,704,604,610,2.8810007380335327,1.9679520974337885,15.838954796721133
0,705,605,611,2.8067560513856,1.914942966625112,20.604376567108886
0,706,606,608,2.8279646552437563,1.8477587980476005,4.703341760301849
0,707,607,609,2.8250099711259486,1.8947745008057508,13.740246492079695
0,712,608,489,2.748325083411571,1.829273176905169,16.73034683721788
0,713,609,488,2.685621440484346,1.6850742503635174,4.7378435305443425
0,714,610,491,2.6456982626958365,1.706964889774557,14.566521969568385
0,715,611,490,2.6647602447141683,1.701656482555205,10.248049570517052
0,625,612,537,2.5395628459086352,1.5156172397599141,7.572458168275034
0,720,612,608,2.506921650238506,1.4984756940968547,11.560344926126975
0,724,612,596,2.5894950008617657,1.5536883819081575,9.409997306477216
0,624,613,536,2.4718888781732162,1.4197768265598876,5.260178931004722
0,721,613,609,2.5389009825465707,1.5095047200457368,7.3946276898976775
0,725,613,597,2.615859919889897,1.618715211750062,5.954091625548387
0,627,614,539,2.561692184235321,1.5352114315740009,7.415576537778988
0,722,614,610,2.6527882361062827,1.6027529021572042,9.315792399104053
0,726,614,598,2.652456589276024,1.6909597502013933,7.643668620698121
0,626,615,538,2.5875225097436423,1.559761005310487,4.656898626897528
0,723,615,611,2.670682772914251,1.7202424255385962,11.743270755079479
0,727,615,599,2.4445425323262384,1.3967533451019547,4.355247741957898
0,638,616,218,2.6486729445003956,1.713410492552313,14.062048899023322
0,732,616,584,2.554574403982039,1.5501110164851668,4.655633447566792
0,639,617,219,2.8469640887298677,1.8472251238638453,8.306566405249525
0,729,617,601,2.4744022526906706,1.358962484216389,7.080965830083845
0,733,617,585,2.621387833852391,1.5789301509737528,9.916928466263217
0,636,618,216,2.6397694845911115,1.679051278317375,16.79666799705082
0,730,618,602,2.3655805701709687,1.2706959450292243,6.6294715962651845
0,734,618,586,2.6046195896639786,1.5532563269817197,6.698753392707492
0,637,619,217,2.733456734404531,1.8805468399915992,25.577253220819994
0,735,619,587,2.664045949125993,1.6785922763243837,10.97323880867295
0,736,620,581,2.672536428109113,1.6882109238330267,12.353023557511007
0,740,620,244,2.9940218340487132,2.1260553163337654,22.62628247604864
0,737,621,580,2.7127164383946702,1.7268892435273144,8.07440410738036
0,741,621,245,3.0489840035114972,2.1066506986132505,9.262763391454234
0,738,622,583,2.5214133147051063,1.5605788865946053,12.917284281796567
0,742,622,246,3.1942454569682885,2.277813432839636,15.145172658956602
0,739,623,582,2.7277672220539504,1.724136971423958,5.726007591406722
