O index,H index,distance
212,740,1.0664714863044529
216,636,1.0885749715074697
267,735,1.0412887481741717
269,645,0.9920145421574328
271,647,1.1691450177300784
508,628,0.9664210867778412
510,630,0.9718925639967362
511,631,0.9501924611613806
512,640,0.9822202549381882
514,642,0.9887007112028335
576,648,0.9600259346729166
576,652,0.9907232091933666
577,633,1.0226135902153755
577,653,1.1096524081731403
577,692,0.9957750007118494
578,634,0.9493287273197705
578,654,1.076481361444133
579,635,1.06002435629387
579,655,0.9803928417017481
579,739,1.133575762044359
580,649,0.9563808324481462
580,656,0.9397533965102901
581,657,1.00906785311476
581,661,0.9592922333476145
582,658,1.0108900245157144
582,662,0.9532146417092816
583,659,0.9878254103449529
583,663,0.9505640278045918
584,664,0.9604301419489709
584,668,0.9533803799075337
585,665,0.9916322276908843
585,669,0.9942456925885872
586,666,0.966761432199688
586,670,0.9900588663076694
587,667,0.9553709951880706
587,671,0.9444508388963444
588,660,0.9805686692373043
588,676,1.0039961805612792
589,644,0.9868679495616155
589,673,1.0588707282818028
589,677,1.065795245521725
590,674,0.9708435593446781
590,678,1.0415094002172876
591,646,0.9635815208972573
591,679,0.9288340799347623
592,680,0.9709452738396046
592,684,0.9663173193435908
593,681,1.0059966036475856
593,685,0.9803095661599046
594,682,0.9901468775357686
594,686,1.0057990090559112
595,683,1.0230153229556613
595,687,0.952513196452968
596,629,1.0126388801436152
596,641,0.9844632941776684
596,688,1.1454908125991758
597,689,0.953764284387386
597,693,1.0419297186241336
598,690,0.9989804964305229
598,694,0.9767469886251658
599,691,1.0119391611980852
599,695,1.0042342703236486
600,696,1.0554102581691889
600,700,1.0008243586145515
600,728,1.0084434928618793
601,697,0.9870103432303329
601,701,0.9526580741217615
602,698,0.9953837264384431
602,702,0.9202086277814894
603,699,1.0181228488966374
603,703,0.9959468581908777
603,731,0.970004493172795
604,704,0.9372232171762778
604,708,0.9598303204935548
605,705,0.9404174366242881
605,709,0.9982705223616408
606,706,0.9678767488067151
606,710,0.9699829155599756
607,650,1.0756173834240121
607,707,0.9754065367064315
607,711,1.06020144684257
608,712,0.9366783992815707
608,716,0.9814725784480052
609,713,0.9953265631690789
609,717,0.963838271476921
610,714,0.9468050037631636
610,718,0.9769366110829139
611,715,0.9812380405659827
611,719,0.9928819000046152
612,625,1.0411566400945749
612,720,1.068246655083152
612,724,1.0434534821223866
613,624,0.9439288829588582
613,721,0.9940112865506312
613,725,1.1782241944811955
614,627,1.0573449128466945
614,722,1.0671602734145444
614,726,1.1164374228668643
615,626,1.0149355229569013
615,723,1.0236703252564088
615,727,1.1238154522767991
616,638,1.0293534669654867
616,732,0.9854351910912785
617,639,0.9884889688531325
617,729,1.0478506857816794
617,733,1.0302730962286104
618,730,0.9787071780519053
618,734,1.0019259251177652
619,637,0.9657271749568477
619,643,1.0116914080376005
620,632,0.9428699562661578
620,736,0.9930996117833432
621,672,1.0954104477056101
621,737,1.100352530472975
621,741,1.023619081941327
622,675,1.061386862359169
622,738,1.049126990643442
622,742,1.0357012468533802
623,651,1.0269989760082059
623,743,0.9970593107701275
