Si index,O index,distance
96,552,1.648352614219576
97,253,1.6583894521155202
97,357,1.5900645786422865
97,473,1.579000275715626
97,553,1.6298331374003907
98,254,1.6071252344900946
98,358,1.5692341223952995
98,474,1.5854489407374641
98,554,1.5946326107512967
99,255,1.6466890141725594
99,359,1.6490147006504876
99,475,1.6115929760168852
99,555,1.663540391015352
100,261,1.6885095275131357
100,348,1.635681940299706
100,452,1.6159108490856564
100,529,1.6288909550940958
101,260,1.5929038728092637
101,349,1.6442415734506302
101,453,1.6241699099365559
101,528,1.614207269094911
102,263,1.6812088036346784
102,350,1.5615766557741453
102,454,1.5958984650633878
102,531,1.595343020353035
103,262,1.6779998378617575
103,351,1.6415610734128905
103,455,1.5559526860560342
103,530,1.5250350380923938
104,265,1.5216734985324334
104,336,1.588902005372096
104,448,1.626052843262214
104,541,1.612206444486339
105,264,1.5653680114850188
105,337,1.6645327722766563
105,449,1.585056878342532
105,540,1.6351703841016614
106,267,1.7035459015841394
106,338,1.6426182450502744
106,450,1.573922122237697
106,543,1.6014148949452067
107,266,1.578133656370707
107,339,1.6151883510142167
107,451,1.632198606826391
107,542,1.6392246668839996
108,268,1.5397319077918181
108,344,1.6427283670609834
108,460,1.6160811319535515
108,532,1.6251962564548266
109,269,1.6672547558653434
109,345,1.619225886800368
109,461,1.6006654475312954
109,533,1.5565751304810953
110,270,1.6156685412130904
110,346,1.5849921343619415
110,462,1.542094316270086
110,534,1.6801846990739198
111,271,1.6224336507116304
111,347,1.6467705158273833
111,463,1.6202450023176949
111,535,1.613178700858481
112,272,1.6291539528093117
112,380,1.621274428068199
112,436,1.610571572057531
112,560,1.6336889166169801
113,273,1.6719180975086345
113,381,1.6107047617462833
113,437,1.6234300654097202
113,561,1.595187645818877
114,274,1.577743308803073
114,382,1.6333559916432367
114,438,1.5909329915668908
114,562,1.5976210987715955
115,275,1.6021650545195352
115,383,1.5986409540336888
115,439,1.5742960129421986
115,563,1.5738383690355833
116,278,1.649276636803531
116,372,1.5923108744917178
116,440,1.5855500231171429
116,568,1.5397054524836276
117,279,1.610358090417333
117,373,1.5716857067748466
117,441,1.629893435836656
117,569,1.6483833555032332
118,276,1.607403667115924
118,374,1.5795235746038176
118,442,1.6090540314311659
118,570,1.5699226079895179
119,277,1.643204584407159
119,375,1.6036679130710851
119,443,1.6016352257239563
119,571,1.5799135693794932
120,282,1.63078856278355
120,376,1.5753385164403544
120,444,1.6026789402961463
120,564,1.619803811041596
121,283,1.5876914985177455
121,377,1.5962020694412
121,445,1.6276992366194358
121,565,1.615988206776709
122,280,1.6301644064900347
122,378,1.575738533795002
122,446,1.6244520011909964
122,566,1.5941276127850244
123,281,1.6534621905601068
123,379,1.5572742794853016
123,447,1.5722663448712368
123,567,1.6195055420952371
124,284,1.6251026960926258
124,368,1.6229247307978392
124,432,1.5567863966989985
124,572,1.617159588259956
125,285,1.6067463982383763
125,369,1.589192400633669
125,433,1.646784803558996
125,573,1.6435406983919574
126,286,1.5779630109663414
126,370,1.6111932304843997
126,434,1.618355985334806
126,574,1.576847144078796
127,287,1.5906672646321607
127,371,1.5935046056583273
127,435,1.6488873130987973
127,575,1.5775971279274208
128,244,1.6038006734250891
128,312,1.56572643537361
128,428,1.6226278536807262
128,500,1.6596836700795492
129,245,1.669126561107716
129,313,1.597773031198042
129,429,1.6126911146575367
129,501,1.6593047659057318
130,246,1.720372542206628
130,314,1.583717699214283
130,430,1.607021902022898
130,502,1.5997524377516077
131,247,1.6758060252701652
131,315,1.6184315912415954
131,431,1.5692081237727276
131,503,1.6350508462378912
132,240,1.5970374262663907
132,304,1.5918616757290547
132,416,1.5677716742845909
132,508,1.7176312375734342
133,241,1.58974245552739
133,305,1.6419306255174155
133,417,1.6593524082413638
133,509,1.633826175614316
134,242,1.6040257661868549
134,306,1.6201722364048772
134,418,1.5781927173699017
134,510,1.6868316869237343
135,243,1.602609445775024
135,307,1.5749221227173726
135,419,1.6099475803854395
135,511,1.6792989539308483
136,248,1.6429933631849551
136,316,1.6243052852635935
136,420,1.5876064527018974
136,496,1.6407325969387792
137,249,1.6216614964702007
137,317,1.6014747667706224
137,421,1.6270066397813638
137,497,1.5954713627356474
138,250,1.6315119402203646
138,318,1.6056235217805037
138,422,1.5891754812798533
138,498,1.6771016128552605
139,251,1.5936461628047665
139,319,1.6123502446081195
139,423,1.6029883039300388
139,499,1.6265479898698667
140,252,1.6298291806587075
140,308,1.597498243109181
140,424,1.6193598710397563
140,504,1.622273435428348
141,253,1.620736706353095
141,309,1.6648882362211441
141,425,1.690012345725822
141,505,1.5469468125834913
142,254,1.6035268497881934
142,310,1.6277120445151374
142,426,1.5739756199447996
142,506,1.5906377573192954
143,255,1.642862151722095
143,311,1.6425128794220125
143,427,1.6373018493097462
143,507,1.5409887284218562
144,284,1.6678613863267462
144,293,1.60195476320011
144,408,1.587730629004065
144,491,1.6305972725717568
145,285,1.6072548319446316
145,292,1.5962510404606358
145,409,1.5588868918287309
145,490,1.636959911680749
146,286,1.667964631276033
146,295,1.6360559426673842
146,410,1.6038167644944958
146,489,1.5901906609872978
147,287,1.6507329011942824
147,294,1.6329163853408943
147,411,1.5976868543524407
147,488,1.6551247048195445
148,280,1.652831477643009
148,303,1.5775942756973407
148,404,1.6007186317980233
148,481,1.649047880682958
149,281,1.6116609733355882
149,302,1.6224055486339017
149,405,1.5783345369779502
149,480,1.631425840059831
150,282,1.5847020492668416
150,301,1.6305266123342637
150,406,1.5915114702910258
150,483,1.598213025564121
151,283,1.6548073103276961
151,300,1.6243429866764425
151,407,1.5944694053232789
151,482,1.6297903637006808
152,272,1.648166234952119
152,288,1.6416617425491846
152,400,1.6080679522922583
152,494,1.551220635234266
153,273,1.6416280361871358
153,289,1.6294231844046303
153,401,1.6245553407739528
153,495,1.628459551271998
154,274,1.5574774265396172
154,290,1.5976915647615157
154,402,1.6240375654516819
154,492,1.597932734403226
155,275,1.581471041929953
155,291,1.5950453199411876
155,403,1.6089349042484968
155,493,1.6383831753812528
156,276,1.649651254382254
156,298,1.5824007002722564
156,412,1.6201255971798572
156,484,1.6101434359398532
157,277,1.5808685873726807
157,299,1.5938223803902063
157,413,1.5966595613363945
157,485,1.6399124676858459
158,278,1.5934710448122338
158,296,1.5699754474106888
158,414,1.6098278088824345
158,486,1.658101638330385
159,279,1.615275497628765
159,297,1.683151604468225
159,415,1.6157036035147727
159,487,1.6207730594771204
160,260,1.6184577149238748
160,328,1.6002370894114455
160,396,1.6141719895650508
160,516,1.6283089354562188
161,261,1.6452799826461049
161,329,1.7220035783657532
161,397,1.6246331680801447
161,517,1.56929868489801
162,262,1.605343887488851
162,330,1.6623501090488495
162,398,1.651732263103028
162,518,1.6202791491277462
163,263,1.5785475951182828
163,331,1.6391094202976069
163,399,1.5879837120856592
163,519,1.6002166372391342
164,256,1.6361051090564573
164,320,1.5988417627730076
164,384,1.60263263884965
164,524,1.5942077931083694
165,257,1.5722016258158855
165,321,1.6908294459718167
165,385,1.5887314948353104
165,525,1.5855867735140294
166,258,1.5996115375572033
166,322,1.59447335196045
166,386,1.5793592350491503
166,526,1.583020305326685
167,259,1.6193306280998463
167,323,1.6020489407911338
167,387,1.6150427522173578
167,527,1.6066031965546061
